City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,tittmoning,48.0667,12.7667,21.98,64,70,4.08,DE,1720092798
83,avarua,-21.2078,-159.775,24.03,83,75,6.69,CK,1720092799
84,brisas de zicatela,15.8369,-97.0419,26.18,84,92,3.53,MX,1720092800
85,mata-utu,-13.2816,-176.1745,28.25,81,11,10.19,WF,1720092398
86,tabou,4.423,-7.3528,26.21,69,69,3.41,CI,1720092803
87,praia da vitoria,38.7333,-27.0667,21.14,68,75,2.95,PT,1720092804
88,pindushi,62.9152,34.58,22.16,46,74,3.72,RU,1720092805
89,luau,-10.7073,22.2247,31.09,17,20,2.35,AO,1720092807
90,jorpeland,59.0225,6.0408,10.78,97,100,6.95,NO,1720092627
91,hamilton,39.1834,-84.5333,23.1,96,75,2.06,US,1720092350
92,port alfred,-33.5906,26.891,18.99,52,14,4.92,ZA,1720092406
93,yuxia,34.0615,108.6291,33.34,53,62,2.75,CN,1720092813
94,edinburgh of the seven seas,-37.0676,-12.3116,15.06,81,34,18.12,SH,1720092260
95,raduzhny,62.0961,77.475,25.78,37,6,1.54,RU,1720092394
96,padang,-0.9492,100.3543,31.03,88,49,0.77,ID,1720092816
97,ribeira grande,38.5167,-28.7,23.22,60,20,5.14,PT,1720092322
98,afaahiti,-17.75,-149.2833,22.93,79,62,9.05,PF,1720092819
99,cidade velha,14.9167,-23.6167,28.26,74,40,5.66,CV,1720092820
100,hadibu,12.65,54.0333,29.51,61,100,11.67,YE,1720092375
101,holyhead,53.3062,-4.6321,15.96,63,75,10.8,GB,1720092822
102,la passe,45.5549,-0.8967,20.01,69,26,5.73,FR,1720092178
103,kiiminki,65.1314,25.7974,23.2,49,24,3.42,FI,1720092825
104,laguna,38.421,-121.4238,21.99,54,0,2.06,US,1720092827
105,carnarvon,-24.8667,113.6333,19.07,38,0,6.42,AU,1720092301
106,kannus,63.9,23.9,19.44,57,58,5.62,FI,1720092836
107,rongelap,11.1635,166.8941,28.07,81,99,6.6,MH,1720092838
108,fort bragg,35.139,-79.006,24.1,88,0,2.57,US,1720092839
109,yeraliyev,43.2,51.65,34.75,22,55,4.36,KZ,1720092841
110,holualoa,19.6228,-155.9522,21.42,86,36,1.4,US,1720092842
111,sinabang,2.4803,96.3801,28.34,71,67,1.07,ID,1720092843
112,bathsheba,13.2167,-59.5167,28.34,89,75,5.66,BB,1720092845
113,enewetak,11.3474,162.3373,28.28,79,86,6.71,MH,1720092363
114,tambopata,-12.7333,-69.1833,19.94,100,20,0.0,PE,1720092847
